"011022","汇添富互联网核心资产六个月持有混合C","HTFHLWHXZCLGYCYHHC","0.8759","0.8759","0.8637","0.8637","0.0122","1.41","开放申购","暂停赎回","","3","0","97","","0","0.00%","","",""
"010412","汇安均衡优选混合","HAJHYXHH","0.8759","0.8759","0.8484","0.8484","0.0275","3.24","开放申购","开放赎回","","1","0","98","","1","0.15%","0.15%","1","1.50%"
"160516","博时中证全指证券公司指数(LOF)","BSZZQZZQGSZSLOF","1.2661","0.8763","1.1833","0.8190","0.0828","7.00","开放申购","开放赎回","","1","0","99","","1","0.10%","0.10%","1","1.00%"
"161032","富国中证煤炭指数(LOF)","FGZZMTZSLOF","1.2590","0.8770","1.2740","0.8880","-0.0150","-1.18","开放申购","开放赎回","","1","0","100","","0","0.00%","","",""
"011221","南方匠心优选股票C","NFJXYXGPC","0.8772","0.8772","0.8671","0.8671","0.0101","1.16","开放申购","开放赎回","","1","0","101","","0","0.00%","","",""
"011021","汇添富互联网核心资产六个月持有混合A","HTFHLWHXZCLGYCYHHA","0.8773","0.8773","0.8650","0.8650","0.0123","1.42","开放申购","暂停赎回","","3","0","102","","1","0.15%","0.15%","1","1.50%"
"010426","国投瑞银开放视角精选混合C","GTRYKFSJJXHHC","0.8782","0.8782","0.8690","0.8690","0.0092","1.06","开放申购","开放赎回","","1","0","103","","0","0.00%","","",""
"010166","招商兴和优选1年持有期混合","ZSXHYX1NCYQHH","0.8784","0.8784","","","","","暂停申购","暂停赎回","","6","0","104","","1","0.15%","0.15%","1","1.50%"
"011220","南方匠心优选股票A","NFJXYXGPA","0.8787","0.8787","0.8686","0.8686","0.0101","1.16","开放申购","开放赎回","","1","0","105","","1","0.15%","0.15%","1","1.50%"
"002984","广发中证环保ETF联接C","GFZZHBETFLJC","0.8787","0.8787","0.8618","0.8618","0.0169","1.96","开放申购","开放赎回","","1","0","106","","0","0.00%","","",""
"010425","国投瑞银开放视角精选混合A","GTRYKFSJJXHHA","0.8792","0.8792","0.87","0.87","0.0092","1.06","开放申购","开放赎回","","1","0","107","","1","0.15%","0.15%","1","1.50%"
"005051","上投标普港股通低波红利指数A","STBPGGTDBHLZSA","0.8798","0.8798","0.8770","0.8770","0.0028","0.32","开放申购","开放赎回","","1","0","108","","1","0.10%","0.10%","1","1.00%"
"000893","工银创新动力股票","GYCXDLGP","0.88","0.88","0.8710","0.8710","0.0090","1.03","开放申购","开放赎回","","1","0","109","","1","0.15%","0.15%","1","1.50%"
"011103","天弘中证光伏产业指数C","THZZGFCYZSC","0.8855","0.8855","0.8737","0.8737","0.0118","1.35","开放申购","开放赎回","","1","0","110","","0","0.00%","","",""
"010417","招商盛洋3个月定开混合","ZSSY3GYDKHH","0.8858","0.8858","0.8739","0.8739","0.0119","1.36","开放申购","开放赎回","","","0","111","","","1.50%","","",""
"011102","天弘中证光伏产业指数A","THZZGFCYZSA","0.8860","0.8860","0.8742","0.8742","0.0118","1.35","开放申购","开放赎回","","1","0","112","","1","0.10%","0.10%","1","1.00%"
"001064","广发中证环保ETF联接A","GFZZHBETFLJA","0.8889","0.8889","0.8718","0.8718","0.0171","1.96","开放申购","开放赎回","","1","0","113","","1","0.12%","0.12%","1","1.20%"
"011378","创金合信积极成长股票C","CJHXJJCZGPC","0.8906","0.8906","0.8714","0.8714","0.0192","2.20","开放申购","开放赎回","","1","0","114","","0","0.00%","","",""
"011377","创金合信积极成长股票A","CJHXJJCZGPA","0.8918","0.8918","0.8725","0.8725","0.0193","2.21","开放申购","开放赎回","","1","0","115","","1","0.15%","0.15%","1","1.50%"
"010681","华夏新兴成长股票C","HXXXCZGPC","0.8918","0.8918","0.8845","0.8845","0.0073","0.83","开放申购","开放赎回","","1","0","116","","0","0.00%","","",""
"161724","招商中证煤炭等权指数(LOF)","ZSZZMTDQZSLOF","1.2182","0.8928","1.2342","0.9035","-0.0160","-1.30","开放申购","开放赎回","","1","0","117","","1","0.10%","0.10%","1","1.00%"
"860056","光大阳光优选一年持有混合C","GDYGYXYNCYHHC","0.8933","0.8933","0.8849","0.8849","0.0084","0.95","开放申购","开放赎回","","1","0","118","","0","0.00%","","",""
"010704","财通智选消费股票C","CTZXXFGPC","0.8934","0.8934","0.8891","0.8891","0.0043","0.48","开放申购","开放赎回","","1","0","119","","0","0.00%","","",""
"008709","银河龙头股票","YHLTGP","0.8936","0.8936","0.8883","0.8883","0.0053","0.60","开放申购","开放赎回","","1","0","120","","1","0.15%","0.15%","1","1.50%"
"010680","华夏新兴成长股票A","HXXXCZGPA","0.8938","0.8938","0.8865","0.8865","0.0073","0.82","开放申购","开放赎回","","1","0","121","","1","0.15%","0.15%","1","1.50%"
"860055","光大阳光优选一年持有混合B","GDYGYXYNCYHHB","0.8945","0.8945","0.8860","0.8860","0.0085","0.96","开放申购","开放赎回","","1","0","122","","1","0.15%","0.15%","1","1.50%"
"010628","广发瑞轩三个月定开混合","GFRXSGYDKHH","0.8945","0.8945","0.8772","0.8772","0.0173","1.97","开放申购","开放赎回","","","0","123","","","1.50%","","",""
"010703","财通智选消费股票A","CTZXXFGPA","0.8945","0.8945","0.8901","0.8901","0.0044","0.49","开放申购","开放赎回","","1","0","124","","1","0.15%","0.15%","1","1.50%"
"009886","新华景气行业混合C","XHJQHYHHC","0.8951","0.8951","0.8851","0.8851","0.01","1.13","开放申购","开放赎回","","1","0","125","","0","0.00%","","",""
"005478","长安鑫禧灵活配置混合C","CAXXLHPZHHC","0.8958","0.8958","0.8783","0.8783","0.0175","1.99","开放申购","开放赎回","","1","0","126","","0","0.00%","","",""
"003194","汇添富中证上海国企ETF联接","HTFZZSHGQETFLJ","0.8959","0.8959","0.8822","0.8822","0.0137","1.55","开放申购","开放赎回","","1","0","127","","1","0.12%","0.12%","1","1.20%"
"010210","国泰中证计算机主题ETF联接C","GTZZJSJZTETFLJC","0.8969","0.8969","0.8819","0.8819","0.0150","1.70","开放申购","开放赎回","","","0","128","","","0.00%","","",""
"011163","博时港股通领先趋势混合C","BSGGTLXQSHHC","0.8975","0.8975","0.8907","0.8907","0.0068","0.76","开放申购","开放赎回","","1","0","129","","0","0.00%","","",""
"009885","新华景气行业混合A","XHJQHYHHA","0.8979","0.8979","0.8879","0.8879","0.01","1.13","开放申购","开放赎回","","1","0","130","","1","0.15%","0.15%","1","1.50%"
"008987","广发上海金ETF联接C","GFSHJETFLJC","0.8989","0.8989","0.8944","0.8944","0.0045","0.50","开放申购","开放赎回","","1","0","131","","0","0.00%","","",""
"009505","富国上海金ETF联接C","FGSHJETFLJC","0.8990","0.8990","0.8946","0.8946","0.0044","0.49","开放申购","开放赎回","","1","0","132","","0","0.00%","","",""
"010108","景顺长城核心招景混合","JSCCHXZJHH","0.8992","0.8992","0.8868","0.8868","0.0124","1.40","开放申购","开放赎回","","1","0","133","","1","0.15%","0.15%","1","1.50%"
"007818","国泰中证全指通信设备ETF联接C","GTZZQZTXSBETFLJC","0.8993","0.8993","0.8852","0.8852","0.0141","1.59","开放申购","开放赎回","","1","0","134","","0","0.00%","","",""
"011162","博时港股通领先趋势混合A","BSGGTLXQSHHA","0.8994","0.8994","0.8925","0.8925","0.0069","0.77","开放申购","开放赎回","","1","0","135","","1","0.15%","0.15%","1","1.50%"
"590002","中邮核心成长混合","ZYHXCZHH","0.8995","0.8995","0.8774","0.8774","0.0221","2.52","开放申购","开放赎回","","1","0","136","","1","0.15%","0.15%","1","1.50%"
"008021","华富中证人工智能产业ETF联接C","HFZZRGZNCYETFLJC","0.8995","0.8995","0.8892","0.8892","0.0103","1.16","开放申购","开放赎回","","1","0","137","","0","0.00%","","",""
"001322","东吴新趋势价值线混合","DWXQSJZXHH","0.8997","0.8997","0.8777","0.8777","0.0220","2.51","开放申购","开放赎回","","1","0","138","","1","0.15%","0.15%","1","1.50%"
"011364","南方兴润价值一年持有混合C","NFXRJZYNCYHHC","0.8999","0.8999","0.8953","0.8953","0.0046","0.51","开放申购","暂停赎回","","3","0","139","","0","0.00%","","",""
"008986","广发上海金ETF联接A","GFSHJETFLJA","0.9013","0.9013","0.8969","0.8969","0.0044","0.49","开放申购","开放赎回","","1","0","140","","1","0.06%","0.06%","1","0.60%"
"005477","长安鑫禧灵活配置混合A","CAXXLHPZHHA","0.9014","0.9014","0.8837","0.8837","0.0177","2.00","开放申购","开放赎回","","1","0","141","","1","0.12%","0.12%","1","1.20%"
"011363","南方兴润价值一年持有混合A","NFXRJZYNCYHHA","0.9014","0.9014","0.8968","0.8968","0.0046","0.51","开放申购","暂停赎回","","3","0","142","","99","1.50%","1.50%","99","1.50%"
"009504","富国上海金ETF联接A","FGSHJETFLJA","0.9016","0.9016","0.8971","0.8971","0.0045","0.50","开放申购","开放赎回","","1","0","143","","1","0.06%","0.06%","1","0.60%"
"008020","华富中证人工智能产业ETF联接A","HFZZRGZNCYETFLJA","0.9024","0.9024","0.8921","0.8921","0.0103","1.15","开放申购","开放赎回","","1","0","144","","1","0.10%","0.10%","1","1.00%"
"161226","国投瑞银白银期货(LOF)","GTRYBYQHLOF","0.9030","0.9030","0.9140","0.9140","-0.0110","-1.20","限大额","开放赎回","","1","0","145","","1","0.10%","0.10%","1","1.00%"
"003587","先锋精一混合C","XFJYHHC","0.9036","0.9036","0.8917","0.8917","0.0119","1.33","开放申购","开放赎回","","1","0","146","","0","0.00%","","",""
"010027","景顺长城核心中景一年持有混合","JSCCHXZJYNCYHH","0.9043","0.9043","0.8915","0.8915","0.0128","1.44","开放申购","暂停赎回","","3","0","147","","1","0.15%","0.15%","1","1.50%"
"010855","添富沪深300基本面增强指数C","TFHS300JBMZQZSC","0.9043","0.9043","0.8858","0.8858","0.0185","2.09","开放申购","开放赎回","","1","0","148","","0","0.00%","","",""
